code,name,population,lat,long,closestHospName,closestHospDist,closestTertHospName,closestTertHospDist
288,Bet Yehoshua,1054.0,32.262075,34.865418,Meir,12,Belinson,25
326,Bet Yizhaq-Sh. Hefer,2079.0,32.33558,34.8895,Laniado,7,Belinson,32
265,Bet Yosef,460.0,32.558698,35.55277299999999,Poriya,30,Rambam,83
710,Bet Zayit,1678.0,31.783058,35.161117,Shaarey Zedek,8,Hadasa Ein Carem,13
353,Bet Zeid,79.0,32.70221,35.131599,Scotish,19,Rambam,22
143,Bet Zera,590.0,32.689296,35.574062,Poriya,13,Rambam,82
212,Bet Zevi,345.0,32.7215394,34.9688805,Carmel,15,Rambam,19
3780,Betar Illit,56746.0,31.7010023,35.1119254,Hadasa Ein Carem,23,Hadasa Ein Carem,23
589,Bezet,279.0,33.070046999999995,35.132636,Nahariya,12,Rambam,45
483,Bi'ne,8299.0,32.929538,35.27191699999999,Nahariya,28,Rambam,43
9800,Binyamina-Giv'at Ada,15627.0,32.517078000000005,34.955096000000005,Hilel Yafe,12,Rambam,44
998,Bir El-Maksur,9317.0,32.777291,35.220571,Holy Family,15,Rambam,31
1348,Bir Hadage,5735.0,31.02316,34.709138,Soroka,44,Soroka,44
368,Biriyya,843.0,32.978108,35.503096,Ziv,8,Rambam,74
252,Bitan Aharon,122.0,32.364928000000006,34.86956,Laniado,5,Ichilov,36
762,Bitha,789.0,31.333869,34.634318,Soroka,25,Soroka,25
234,Bizzaron,1267.0,31.7949517,34.7293463,Asuta Ashdod,9,Shiba,44
1368,Bne Dkalim,1016.0,31.517188,34.917033,Soroka,44,Soroka,44
1363,Bne Netsarim,728.0,31.143513,34.316403,Soroka,71,Soroka,71
3744,Brukhin,1093.0,32.082231,35.094113,Asaf Harofe,29,Belinson,30
482,Bu'eine-Nujeidat,9645.0,32.807711,35.36527,Poriya,23,Rambam,62
4001,Buq'ata,6528.0,33.2026572,35.7767723,Ziv,58,Rambam,134
698,Burgeta,1120.0,32.325972,34.963848,Laniado,14,Ichilov,41
559,Bustan HaGalil,1305.0,32.948636,35.080688,Nahariya,10,Rambam,30
489,Daburiyya,10402.0,32.69412,35.368513,Scotish,13,Rambam,55
302,Dafna,965.0,33.23075,35.638268,Ziv,48,Rambam,125
475,Dahi,691.0,32.622491,35.343604,Haemek,5,Rambam,55
494,Daliyat Al-Karmel,17427.0,32.693796,35.055446999999994,Carmel,16,Rambam,23
300,Daliyya,801.0,32.58925,35.076965,Haemek,30,Rambam,35
431,Dalton,861.0,33.016553,35.489911,Ziv,10,Rambam,75
303,Dan,732.0,33.239745,35.653803,Ziv,49,Rambam,126
407,Daverat,439.0,32.646729,35.350085,Haemek,6,Rambam,56
62,Deganya Alef,538.0,32.706938,35.575062,Poriya,10,Rambam,79
79,Deganya Bet,655.0,32.69907,35.577551,Poriya,10,Rambam,80
490,Deir Al-Asad,12348.0,32.93445,35.268394,Nahariya,22,Rambam,44
492,Deir Hanna,10259.0,32.862316,35.365253,Poriya,31,Rambam,45
493,Deir Rafat,94.0,31.77653,34.947439,Kaplan,21,Hadasa Ein Carem,34
1317,Demeide,510.0,32.8149647,35.22656420000001,Holy Family,22,Rambam,31
1241,Deqel,341.0,31.195908000000006,34.346771000000004,Soroka,64,Soroka,64
1349,Derig'at,1199.0,31.301885,35.076793,Soroka,34,Soroka,34
849,Devira,999.0,31.411699,34.825177000000004,Soroka,26,Soroka,26
146,Devora,232.0,32.552895,35.26385300000001,Haemek,19,Rambam,51
2200,Dimona,34135.0,31.069419,35.033363,Soroka,41,Soroka,41
2063,Dishon,351.0,33.082318,35.51757199999999,Ziv,24,Rambam,89
3747,Dolev,1341.0,31.926249,35.133591,Belinson,46,Belinson,46
738,Dor,433.0,32.607802,34.923316,Hilel Yafe,25,Rambam,32
336,Dorot,822.0,31.507207,34.645725,Barzilay,29,Soroka,39
1067,Dovev,487.0,33.0508,35.407747,Ziv,22,Rambam,73
3650,Efrat,10088.0,31.653589,35.149934,Hadasa Ein Carem,33,Hadasa Ein Carem,33
530,Eilabun,5703.0,32.837949,35.399996,Poriya,24,Rambam,63
546,Ein Al-Asad,872.0,32.940754,35.401027,Ziv,21,Rambam,59
1320,Ein Hod,304.0,32.700292,34.982716,Carmel,17,Rambam,20
532,Ein Mahel,13130.0,32.724295,35.353369,Holy Family,6,Rambam,47
521,Ein Naqquba,3424.0,31.79391,35.119683,Shaarey Zedek,11,Hadasa Ein Carem,12
4502,Ein Qiniyye,2063.0,33.236680199999995,35.73130620000001,Ziv,59,Rambam,136
514,Ein Rafa,1243.0,31.790605,35.116514,Shaarey Zedek,12,Hadasa Ein Carem,13
1309,El'ad,47866.0,32.04953,34.95075,Belinson,13,Belinson,13
3618,El'azar,2510.0,31.659676,35.143074,Hadasa Ein Carem,31,Hadasa Ein Carem,31
4003,El-Rom,392.0,33.180519,35.770095,Ziv,55,Rambam,132
2600,Elat,51935.0,29.557669,34.951925,Yoseftal,1,Soroka,237
3765,Eli,4311.0,32.071177,35.26685900000001,Hadasa Har Hazofim,43,Belinson,54
4002,Eli-Ad,401.0,32.806583,35.736575,Poriya,40,Rambam,109
1365,Eliav,427.0,31.530203000000004,34.928414000000004,Soroka,41,Soroka,41
1248,Elifaz,152.0,29.796248,35.012094,Yoseftal,30,Soroka,211
730,Elifelet,633.0,32.947834,35.548516,Ziv,12,Rambam,85
841,Elishama,1199.0,32.154778,34.930461,Meir,7,Belinson,12
294,Elon,1020.0,33.062526,35.219162,Nahariya,16,Rambam,52
3579,Elon More,1946.0,32.234418,35.331201,Asaf Harofe,64,Belinson,65
1126,Elot,317.0,29.580548,34.963023,Yoseftal,4,Soroka,234
3560,Elqana,3812.0,32.110566,35.032053999999995,Asaf Harofe,21,Belinson,22
603,Elqosh,292.0,33.034294,35.326348,Nahariya,24,Rambam,61
41,Elyakhin,3486.0,32.407659,34.925028000000005,Hilel Yafe,12,Shiba,46
682,Elyaqim,888.0,32.633345,35.067613,Carmel,28,Rambam,29
204,Elyashiv,733.0,32.380196000000005,34.909945,Hilel Yafe,10,Belinson,36
772,Emunim,979.0,31.743885,34.674492,Asuta Ashdod,7,Shiba,44
687,En Ayyala,1177.0,32.629963000000004,34.944296,Carmel,25,Rambam,28
436,En Dor,1026.0,32.655468,35.416388,Haemek,17,Rambam,70
2042,En Gedi,603.0,31.451191,35.383571,Hadasa Har Hazofim,76,Hadasa Ein Carem,92
273,En Gev,680.0,32.783393,35.640119,Poriya,22,Rambam,91
1240,En HaBesor,1156.0,31.280895,34.443446,Soroka,48,Soroka,48
367,En HaEmeq,775.0,32.6778114,35.2417497,Scotish,7,Rambam,37
167,En HaHoresh,827.0,32.385871,34.939994,Hilel Yafe,12,Shiba,47
289,En HaMifraz,1238.0,32.902581,35.09304,Nahariya,14,Rambam,23
383,En HaNaziv,626.0,32.47071,35.501973,Haemek,34,Rambam,79
676,En HaShelosha,351.0,31.351722,34.403471,Barzilay,49,Soroka,52
270,En HaShofet,833.0,32.596810999999995,35.100445,Haemek,27,Rambam,35
89,En Harod (Ihud),556.0,32.563099,35.391666,Haemek,14,Rambam,59
82,En Harod(Me'uhad),733.0,32.556806,35.392995,Haemek,15,Rambam,59
74,En Hod,632.0,32.700292,34.982716,Carmel,17,Rambam,20
223,En Iron,561.0,32.484427000000004,35.010069,Hilel Yafe,19,Rambam,52
1056,En Karem-B.S.Haqla'i,170.0,31.778056,35.153611,Hadasa Ein Carem,4,Hadasa Ein Carem,4
426,En Karmel,915.0,32.677912,34.953676,Carmel,19,Rambam,22
880,En Sarid,1603.0,32.274901,34.93418,Meir,14,Belinson,27
139,En Shemer,553.0,32.461917,35.00673,Hilel Yafe,13,Rambam,52
1251,En Tamar,190.0,30.943594,35.37407,Soroka,84,Soroka,84
157,En Wered,1512.0,32.264467,34.930705,Meir,14,Belinson,27
813,En Ya'aqov,1106.0,33.009312,35.229024,Nahariya,13,Rambam,49
806,En Yahav,712.0,30.658757,35.239656,Soroka,119,Soroka,119
4503,En Ziwan,348.0,32.595833299999995,35.5377778,Poriya,24,Rambam,83
622,En Zurim,892.0,31.693755100000004,34.7176273,Barzilay,19,Shiba,59
871,Enat,812.0,32.081948,34.937514,Belinson,14,Belinson,14
3712,Enav,859.0,32.283594,35.125198,Meir,32,Belinson,50
714,Erez,517.0,31.55984,34.564889,Barzilay,17,Soroka,50
1276,Eshbal,125.0,32.876984,35.30601,Nahariya,35,Rambam,40
71,Eshbol,635.0,31.445516,34.666654,Soroka,34,Soroka,34
2021,Eshel HaNasi,355.0,31.326828000000006,34.697497,Soroka,18,Soroka,18
1188,Eshhar,918.0,32.885084,35.299622,Nahariya,35,Rambam,41
3722,Eshkolot,567.0,31.391171000000003,34.904856,Soroka,25,Soroka,25
740,Eshta'ol,1252.0,31.780385,35.010102,Hadasa Ein Carem,22,Hadasa Ein Carem,22
37,Etan,456.0,31.572213,34.747909,Barzilay,29,Soroka,39
886,Etanim,80.0,31.7789,35.095169,Hadasa Ein Carem,11,Hadasa Ein Carem,11
1081,Even Menahem,297.0,33.075143,35.295219,Nahariya,25,Rambam,62
783,Even Sappir,724.0,31.7625,35.134991,Hadasa Ein Carem,2,Hadasa Ein Carem,2
400,Even Shemu'el,1675.0,31.576429,34.762963,Barzilay,28,Soroka,39
182,Even Yehuda,13700.0,32.270042600000004,34.8809634,Meir,11,Belinson,24
376,Evron,821.0,32.991149,35.100031,Nahariya,5,Rambam,34
716,Eyal,522.0,32.210711,34.978259,Meir,12,Belinson,28
3778,Ez Efrayim,2292.0,32.119403000000005,35.046367,Asaf Harofe,23,Belinson,24
1149,Ezer,821.0,31.736151,34.671447,Asuta Ashdod,7,Shiba,44
328,Ezuz,77.0,30.792202000000003,34.472404,Soroka,88,Soroka,88
535,Fassuta,3149.0,33.04782,35.308827,Nahariya,28,Rambam,65
537,Fureidis,13085.0,32.597351,34.951899,Hilel Yafe,21,Rambam,33
842,Ga'ash,763.0,32.228477000000005,34.824411,Meir,15,Ichilov,19
463,Ga'ton,693.0,33.006075,35.213831,Nahariya,10,Rambam,46
145,Gadish,386.0,32.558844,35.24443,Haemek,14,Rambam,46
35,Gadot,441.0,33.018208,35.619547,Ziv,21,Rambam,97
369,Gal'ed (Even Yizhaq),490.0,32.558075,35.076559,Hilel Yafe,30,Rambam,42
